store_id,week_start,weekly_revenue,transaction_count,return_amount,return_count,return_rate,staffing_hours,sales_per_staffed_hour
S01,2025-04-07,14315.48,255,242.29,8,0.016925034997080084,319.9,44.74985933104095
S01,2025-04-14,12756.93,254,307.8,9,0.024128062159155847,310.3,41.111601675797615
S01,2025-04-21,12101.66,226,343.22,12,0.0283613983536143,386.2,31.335214914552047
S01,2025-04-28,12738.1,229,482.81,13,0.037902826952214225,337.3,37.76489771716573
S01,2025-05-05,13699.01,257,446.34999999999997,17,0.03258264648321302,367.9,37.2356890459364
S01,2025-05-12,13643.96,261,299.99,11,0.02198701843159904,312.0,43.73064102564102
S01,2025-05-19,14501.11,279,150.43,6,0.01037368863487002,280.9,51.62374510501959
S01,2025-05-26,14794.07,263,460.86,15,0.03115167090597787,358.4,41.27809709821429
S02,2025-04-07,10340.07,197,273.33,9,0.026434057022824798,342.0,30.234122807017542
S02,2025-04-14,11712.04,207,241.12,10,0.02058736138196249,342.0,34.24573099415205
S02,2025-04-21,10961.29,203,335.37,12,0.030595851400701923,297.3,36.869458459468554
S02,2025-04-28,9577.66,183,220.74,7,0.0230473831812781,340.7,28.11171118285882
S02,2025-05-05,10986.11,209,140.16,5,0.012757927965403586,382.3,28.736882029819515
S02,2025-05-12,10373.2,201,364.1,12,0.035100065553541816,376.7,27.537032121051237
S02,2025-05-19,11742.4,214,322.97,11,0.027504598719171554,401.4,29.253612356751372
S02,2025-05-26,11073.81,213,255.48000000000002,10,0.023070650480728858,329.8,33.577349909035775
S03,2025-04-07,7570.76,153,246.43,9,0.0325502327375323,376.2,20.124295587453485
S03,2025-04-14,10113.42,187,321.68,12,0.03180724225830629,351.4,28.78036425725669
S03,2025-04-21,8177.12,146,161.5,6,0.019750229909797093,385.4,21.217228853139595
S03,2025-04-28,8671.07,165,19.48,1,0.00224655088703009,375.5,23.092063914780294
S03,2025-05-05,23516.04,304,341.36,13,0.014516049470914321,416.8,56.42044145873321
S03,2025-05-12,9097.82,170,130.32,5,0.014324310659037,383.5,23.723129074315516
S03,2025-05-19,8676.46,164,214.39,9,0.024709386086030478,344.4,25.192973286875723
S03,2025-05-26,9355.46,180,192.92000000000002,9,0.020621113232272923,362.6,25.801047986762267
S04,2025-04-07,12134.35,239,263.46,10,0.021711916995965995,360.4,33.669117647058826
S04,2025-04-14,13535.98,243,219.58,10,0.016221950682551247,339.0,39.92914454277286
S04,2025-04-21,11921.35,223,246.75,8,0.02069815918499163,318.1,37.47673687519648
S04,2025-04-28,12455.48,228,203.18,8,0.01631249859499594,383.4,32.4869066249348
S04,2025-05-05,12382.98,237,568.38,20,0.0459000983608146,357.3,34.65709487825357
S04,2025-05-12,11364.97,223,107.11,6,0.009424573932003341,,
S04,2025-05-19,12002.61,221,287.93,12,0.02398894907024389,357.0,33.62075630252101
S04,2025-05-26,12325.09,220,455.54,16,0.0369603791939856,345.8,35.64224985540775
S05,2025-04-07,9837.57,173,326.47,9,0.03318604086171687,364.0,27.026291208791207
S05,2025-04-14,10627.22,201,239.97,10,0.022580693727992835,400.5,26.534881398252182
S05,2025-04-21,9388.05,172,289.25,13,0.03081044519362381,307.1,30.570009768804944
S05,2025-04-28,10275.03,184,340.34,14,0.03312301764569057,386.3,26.598576236085943
S05,2025-05-05,10241.93,200,292.74,12,0.028582503492993995,369.1,27.748387970739635
S05,2025-05-12,8265.98,166,92.68,4,0.011212221660347594,255.7,32.32686742276105
S05,2025-05-19,10131.13,181,325.57,12,0.032135605801129785,376.8,26.887287685774943
S05,2025-05-26,10963.09,205,369.12,13,0.03366933957488263,325.3,33.701475561020594
